"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1","ANCHORAGE ","AK",0,0,"2020",22404,0,0
"2","DENALI ","AK",0,0,"2068",0,0,NA
"3","FAIRBANKS NORTH STAR ","AK",0,0,"2090",5881,0,0
"4","JUNEAU ","AK",4,3,"2110",3245,317,0.0976887519260401
"5","KENAI PENINSULA ","AK",0,0,"2122",0,0,NA
"6","KETCHIKAN GATEWAY ","AK",0,0,"2130",1537,0,0
"7","KODIAK ISLAND ","AK",0,0,"2150",459,0,0
"8","MATANUSKA SUSITNA ","AK",0,0,"2170",6071,0,0
"9","PRINCE WALES KETCHIK ","AK",0,0,"2201",0,0,NA
"10","SITKA BOROUGH ","AK",0,0,"2220",961,0,0
"11","VALDEZ CORDOVA ","AK",0,0,"2261",0,0,NA
"12","WRANGELL PETERSBURG ","AK",0,0,"2280",784,0,0
"13","YUKON KOYUKUK ","AK",0,0,"2290",486,0,0
"14","AUTAUGA ","AL",4,2,"1000",6883,529,0.0768560220833939
"15","BALDWIN ","AL",7,3,"1010",30437,2857,0.09386601833295
"16","BARBOUR ","AL",2,2,"1020",4698,265,0.056406981694338
"17","BIBB ","AL",5,4,"1030",3840,775,0.201822916666667
"18","BLOUNT ","AL",8,6,"1040",7191,5365,0.746071478236685
"19","BULLOCK ","AL",1,1,"1050",1880,32,0.0170212765957447
"20","BUTLER ","AL",20,9,"1060",4228,17877,4.22824030274361
"21","CALHOUN ","AL",5,3,"1070",23224,959,0.0412934894936273
"22","CHAMBERS ","AL",4,3,"1080",7380,157,0.0212737127371274
"23","CHEROKEE ","AL",12,9,"1090",4477,2108,0.470851016305562
"24","CHILTON ","AL",4,2,"1100",6287,1447,0.230157467790679
"25","CHOCTAW ","AL",0,0,"1110",3185,0,0
"26","CLARKE ","AL",2,2,"1120",5492,414,0.0753823743627094
"27","CLAY ","AL",23,14,"1130",3007,3205,1.06584635849684
"28","CLEBURNE ","AL",1,1,"1140",2752,73,0.0265261627906977
"29","COFFEE ","AL",3,1,"1150",8093,457,0.0564685530705548
"30","COLBERT ","AL",0,0,"1160",11375,0,0
"31","CONECUH ","AL",1,1,"1170",2865,272,0.0949389179755672
"32","COOSA ","AL",1,1,"1180",2392,134,0.0560200668896321
"33","COVINGTON ","AL",0,0,"1190",8425,0,0
"34","CRENSHAW ","AL",1,1,"1200",2996,17,0.00567423230974633
"35","CULLMAN ","AL",2,1,"1210",14850,640,0.0430976430976431
"36","DALE ","AL",0,0,"1220",10774,0,0
"37","DALLAS ","AL",18,6,"1230",9372,28625,3.05431071276142
"38","DE KALB ","AL",4,1,"1240",11741,163,0.0138829741929989
"39","ELMORE ","AL",7,6,"1250",11205,1025,0.0914770191878626
"40","ESCAMBIA ","AL",5,2,"1260",6952,3159,0.454401611047181
"41","ETOWAH ","AL",3,1,"1270",20865,133,0.00637431104720824
"42","FAYETTE ","AL",27,17,"1280",3535,13992,3.95813295615276
"43","FRANKLIN ","AL",41,18,"1290",6525,26610,4.07816091954023
"44","GENEVA ","AL",0,0,"1300",5672,0,0
"45","GREENE ","AL",32,19,"1310",1906,15209,7.97953830010493
"46","HALE ","AL",0,0,"1320",3513,0,0
"47","HENRY ","AL",19,10,"1330",3421,2542,0.743057585501315
"48","HOUSTON ","AL",6,6,"1340",13972,345,0.0246922416261094
"49","JACKSON ","AL",35,22,"1350",10670,31466,2.94901593252109
"50","JEFFERSON ","AL",78,42,"1360",117060,113388,0.968631471040492
"51","LAMAR ","AL",4,2,"1370",3583,142,0.0396315936366174
"52","LAUDERDALE ","AL",1,0,"1380",17812,52,0.00291938019312823
"53","LAWRENCE ","AL",11,9,"1390",5013,8722,1.73987632156393
"54","LEE ","AL",25,9,"1400",12988,9561,0.736141053279951
"55","LIMESTONE ","AL",2,0,"1410",9879,24,0.00242939568782265
"56","LOWNDES ","AL",5,4,"1420",1975,417,0.211139240506329
"57","MACON ","AL",9,4,"1430",3898,1408,0.361210877373012
"58","MADISON ","AL",39,18,"1440",43086,10108,0.234600566309242
"59","MARENGO ","AL",0,0,"1450",3928,0,0
"60","MARION ","AL",41,23,"1460",6356,27686,4.35588420390182
"61","MARSHALL ","AL",22,17,"1470",17198,2500,0.145365740202349
"62","MOBILE ","AL",7,2,"1480",64016,15302,0.239033991502124
"63","MONROE ","AL",40,24,"1490",4160,64486,15.5014423076923
"64","MONTGOMERY ","AL",58,18,"1500",33936,72191,2.12726897689769
"65","MORGAN ","AL",12,6,"1510",20178,1136,0.056298939438993
"66","PERRY ","AL",9,8,"1520",2128,817,0.383928571428571
"67","PICKENS ","AL",4,3,"1530",4361,1150,0.263700986012382
"68","PIKE ","AL",11,6,"1540",5433,1876,0.34529725750046
"69","RANDOLPH ","AL",14,9,"1550",4494,4150,0.923453493546951
"70","RUSSELL ","AL",5,4,"1560",9324,720,0.0772200772200772
"71","SAINT CLAIR ","AL",18,7,"1570",9931,9085,0.914812204209042
"72","SHELBY ","AL",23,10,"1580",15180,9849,0.648814229249012
"73","SUMTER ","AL",6,1,"1590",2768,240,0.0867052023121387
"74","TALLADEGA ","AL",1,1,"1600",15674,1887,0.120390455531453
"75","TALLAPOOSA ","AL",0,0,"1610",8283,0,0
"76","TUSCALOOSA ","AL",6,0,"1620",25499,210,0.00823561708302286
"77","WALKER ","AL",8,5,"1630",16145,2758,0.170826881387426
"78","WASHINGTON ","AL",89,53,"1640",3320,61958,18.6620481927711
"79","WILCOX ","AL",1,1,"1650",2692,213,0.0791233283803863
"80","WINSTON ","AL",4,2,"1660",5223,286,0.054757802029485
"81","ARKANSAS ","AR",0,0,"4000",3965,0,0
"82","ASHLEY ","AR",0,0,"4010",4394,0,0
"83","BAXTER ","AR",1,0,"4020",12605,38,0.00301467671558905
"84","BENTON ","AR",25,19,"4030",26899,5489,0.204059630469534
"85","BOONE ","AR",18,10,"4040",8323,2713,0.325964195602547
"86","BRADLEY ","AR",3,3,"4050",2468,1277,0.51742301458671
"87","CARROLL ","AR",19,11,"4070",5019,2191,0.436541143654114
"88","CHICOT ","AR",0,0,"4080",2727,0,0
"89","CLARK ","AR",58,14,"4090",4190,94038,22.4434367541766
"90","CLEVELAND ","AR",6,1,"4120",1568,1981,1.26339285714286
"91","COLUMBIA ","AR",21,11,"4130",5095,8306,1.63022571148185
"92","CONWAY ","AR",0,0,"4140",5052,0,0
"93","CRAIGHEAD ","AR",0,0,"4150",13327,0,0
